Key,KR,EN
,,
// [Unit],,
UNIT_NAME_SWORD,검,Sword
UNIT_DESC_SWORD,,
UNIT_NAME_BOW,활,Bow
UNIT_DESC_BOW,,
UNIT_NAME_SPEAR,창,Spear
UNIT_DESC_SPEAR,,
UNIT_NAME_CANNON,포,Cannon
UNIT_DESC_CANNON,,
,,
// [Spell],,
SPELL_NAME_LIGHTNING,번개,Lightning
SPELL_DESC_LIGHTNING,,
SPELL_NAME_RAGE,분노,Rage
SPELL_DESC_RAGE,,
SPELL_NAME_FREEZE,빙결,Freeze
SPELL_DESC_FREEZE,,
,,
// [Word],,
WORD_NAME_IGNITE,발화,Clone
WORD_DESC_IGNITE,,
WORD_NAME_EXTRAHIT,추가타,Strong
WORD_DESC_EXTRAHIT,,
WORD_NAME_COLD,냉기,Healthy
WORD_DESC_COLD,,
,,
,,
,,
,,
,,
// [Enemy],,
ENEMY_NAME_LOWER_I,소문자 i,Lower i
ENEMY_DESC_LOWER_I,,
ENEMY_NAME_UPPER_I,대문자 I,Upper I
ENEMY_DESC_UPPER_I,,
ENEMY_NAME_UPPER_X,대문자 X,Upper X
ENEMY_DESC_UPPER_X,,
ENEMY_NAME_UPPER_E,대문자 E,Upper E
ENEMY_DESC_UPPER_E,,
